ENP1: rounded = 5, raw = 5.000000, rounded_increase = 0.0, calc = ENP1 = 5 (raw 5.000000)
ENP47: rounded = 1854, raw = 1854.030962, rounded_increase = 32, calc = [1822.253497 + (5000.000000 - 1822.253497) x 1.00%]
ENP48: rounded = 1885, raw = 1885.490653, rounded_increase = 31, calc = [1854.030962 + (5000.000000 - 1854.030962) x 1.00%]
ENP49: rounded = 1917, raw = 1916.635746, rounded_increase = 31, calc = [1885.490653 + (5000.000000 - 1885.490653) x 1.00%]
ENP50: rounded = 1947, raw = 1947.469389, rounded_increase = 31, calc = [1916.635746 + (5000.000000 - 1916.635746) x 1.00%]
ENP51: rounded = 1978, raw = 1977.994695, rounded_increase = 31, calc = [1947.469389 + (5000.000000 - 1947.469389) x 1.00%]
ENP52: rounded = 2008, raw = 2008.214748, rounded_increase = 30, calc = [1977.994695 + (5000.000000 - 1977.994695) x 1.00%]
ENP53: rounded = 2038, raw = 2038.132600, rounded_increase = 30, calc = [2008.214748 + (5000.000000 - 2008.214748) x 1.00%]
ENP54: rounded = 2068, raw = 2067.751274, rounded_increase = 30, calc = [2038.132600 + (5000.000000 - 2038.132600) x 1.00%]
ENP55: rounded = 2097, raw = 2097.073761, rounded_increase = 29, calc = [2067.751274 + (5000.000000 - 2067.751274) x 1.00%]
ENP56: rounded = 2126, raw = 2126.103024, rounded_increase = 29, calc = [2097.073761 + (5000.000000 - 2097.073761) x 1.00%]
ENP57: rounded = 2155, raw = 2154.841994, rounded_increase = 29, calc = [2126.103024 + (5000.000000 - 2126.103024) x 1.00%]
ENP58: rounded = 2183, raw = 2183.293574, rounded_increase = 28, calc = [2154.841994 + (5000.000000 - 2154.841994) x 1.00%]
ENP59: rounded = 2211, raw = 2211.460638, rounded_increase = 28, calc = [2183.293574 + (5000.000000 - 2183.293574) x 1.00%]
ENP60: rounded = 2239, raw = 2239.346032, rounded_increase = 28, calc = [2211.460638 + (5000.000000 - 2211.460638) x 1.00%]
ENP61: rounded = 2267, raw = 2266.952571, rounded_increase = 28, calc = [2239.346032 + (5000.000000 - 2239.346032) x 1.00%]
ENP62: rounded = 2294, raw = 2294.283046, rounded_increase = 27, calc = [2266.952571 + (5000.000000 - 2266.952571) x 1.00%]
ENP63: rounded = 2321, raw = 2321.340215, rounded_increase = 27, calc = [2294.283046 + (5000.000000 - 2294.283046) x 1.00%]
ENP64: rounded = 2348, raw = 2348.126813, rounded_increase = 27, calc = [2321.340215 + (5000.000000 - 2321.340215) x 1.00%]
ENP65: rounded = 2375, raw = 2374.645545, rounded_increase = 27, calc = [2348.126813 + (5000.000000 - 2348.126813) x 1.00%]
ENP66: rounded = 2401, raw = 2400.899089, rounded_increase = 26, calc = [2374.645545 + (5000.000000 - 2374.645545) x 1.00%]
ENP67: rounded = 2427, raw = 2426.890098, rounded_increase = 26, calc = [2400.899089 + (5000.000000 - 2400.899089) x 1.00%]
ENP68: rounded = 2453, raw = 2452.621197, rounded_increase = 26, calc = [2426.890098 + (5000.000000 - 2426.890098) x 1.00%]
ENP69: rounded = 2478, raw = 2478.094986, rounded_increase = 25, calc = [2452.621197 + (5000.000000 - 2452.621197) x 1.00%]
ENP70: rounded = 2503, raw = 2503.314036, rounded_increase = 25, calc = [2478.094986 + (5000.000000 - 2478.094986) x 1.00%]
ENP71: rounded = 2528, raw = 2528.280895, rounded_increase = 25, calc = [2503.314036 + (5000.000000 - 2503.314036) x 1.00%]
ENP72: rounded = 2553, raw = 2552.998086, rounded_increase = 25, calc = [2528.280895 + (5000.000000 - 2528.280895) x 1.00%]
ENP73: rounded = 2577, raw = 2577.468105, rounded_increase = 24, calc = [2552.998086 + (5000.000000 - 2552.998086) x 1.00%]
ENP74: rounded = 2602, raw = 2601.693424, rounded_increase = 24, calc = [2577.468105 + (5000.000000 - 2577.468105) x 1.00%]
ENP75: rounded = 2626, raw = 2625.676490, rounded_increase = 24, calc = [2601.693424 + (5000.000000 - 2601.693424) x 1.00%]
ENP76: rounded = 2649, raw = 2649.419725, rounded_increase = 24, calc = [2625.676490 + (5000.000000 - 2625.676490) x 1.00%]
ENP77: rounded = 2673, raw = 2672.925528, rounded_increase = 24, calc = [2649.419725 + (5000.000000 - 2649.419725) x 1.00%]
ENP78: rounded = 2696, raw = 2696.196273, rounded_increase = 23, calc = [2672.925528 + (5000.000000 - 2672.925528) x 1.00%]
ENP79: rounded = 2719, raw = 2719.234310, rounded_increase = 23, calc = [2696.196273 + (5000.000000 - 2696.196273) x 1.00%]
ENP80: rounded = 2742, raw = 2742.041967, rounded_increase = 23, calc = [2719.234310 + (5000.000000 - 2719.234310) x 1.00%]
ENP81: rounded = 2765, raw = 2764.621547, rounded_increase = 23, calc = [2742.041967 + (5000.000000 - 2742.041967) x 1.00%]
ENP82: rounded = 2787, raw = 2786.975332, rounded_increase = 22, calc = [2764.621547 + (5000.000000 - 2764.621547) x 1.00%]
ENP83: rounded = 2809, raw = 2809.105578, rounded_increase = 22, calc = [2786.975332 + (5000.000000 - 2786.975332) x 1.00%]
ENP84: rounded = 2831, raw = 2831.014523, rounded_increase = 22, calc = [2809.105578 + (5000.000000 - 2809.105578) x 1.00%]
ENP85: rounded = 2853, raw = 2852.704377, rounded_increase = 22, calc = [2831.014523 + (5000.000000 - 2831.014523) x 1.00%]
ENP86: rounded = 2874, raw = 2874.177334, rounded_increase = 21, calc = [2852.704377 + (5000.000000 - 2852.704377) x 1.00%]
ENP87: rounded = 2895, raw = 2895.435560, rounded_increase = 21, calc = [2874.177334 + (5000.000000 - 2874.177334) x 1.00%]
ENP88: rounded = 2916, raw = 2916.481205, rounded_increase = 21, calc = [2895.435560 + (5000.000000 - 2895.435560) x 1.00%]
ENP89: rounded = 2937, raw = 2937.316393, rounded_increase = 21, calc = [2916.481205 + (5000.000000 - 2916.481205) x 1.00%]
ENP90: rounded = 2958, raw = 2957.943229, rounded_increase = 21, calc = [2937.316393 + (5000.000000 - 2937.316393) x 1.00%]
ENP91: rounded = 2978, raw = 2978.363796, rounded_increase = 20, calc = [2957.943229 + (5000.000000 - 2957.943229) x 1.00%]
ENP92: rounded = 2999, raw = 2998.580159, rounded_increase = 20, calc = [2978.363796 + (5000.000000 - 2978.363796) x 1.00%]
ENP93: rounded = 3019, raw = 3018.594357, rounded_increase = 20, calc = [2998.580159 + (5000.000000 - 2998.580159) x 1.00%]
ENP94: rounded = 3038, raw = 3038.408413, rounded_increase = 20, calc = [3018.594357 + (5000.000000 - 3018.594357) x 1.00%]
ENP95: rounded = 3058, raw = 3058.024329, rounded_increase = 20, calc = [3038.408413 + (5000.000000 - 3038.408413) x 1.00%]
ENP96: rounded = 3077, raw = 3077.444086, rounded_increase = 19, calc = [3058.024329 + (5000.000000 - 3058.024329) x 1.00%]
ENP97: rounded = 3097, raw = 3096.669645, rounded_increase = 19, calc = [3077.444086 + (5000.000000 - 3077.444086) x 1.00%]
ENP98: rounded = 3116, raw = 3115.702949, rounded_increase = 19, calc = [3096.669645 + (5000.000000 - 3096.669645) x 1.00%]
ENP99: rounded = 3135, raw = 3134.545919, rounded_increase = 19, calc = [3115.702949 + (5000.000000 - 3115.702949) x 1.00%]
ENP100: rounded = 3153, raw = 3153.200460, rounded_increase = 19, calc = [3134.545919 + (5000.000000 - 3134.545919) x 1.00%]
ENP101: rounded = 3172, raw = 3171.668455, rounded_increase = 18, calc = [3153.200460 + (5000.000000 - 3153.200460) x 1.00%]
ENP102: rounded = 3190, raw = 3189.951771, rounded_increase = 18, calc = [3171.668455 + (5000.000000 - 3171.668455) x 1.00%]
ENP103: rounded = 3208, raw = 3208.052253, rounded_increase = 18, calc = [3189.951771 + (5000.000000 - 3189.951771) x 1.00%]
ENP104: rounded = 3226, raw = 3225.971731, rounded_increase = 18, calc = [3208.052253 + (5000.000000 - 3208.052253) x 1.00%]
ENP105: rounded = 3244, raw = 3243.712013, rounded_increase = 18, calc = [3225.971731 + (5000.000000 - 3225.971731) x 1.00%]
ENP106: rounded = 3261, raw = 3261.274893, rounded_increase = 18, calc = [3243.712013 + (5000.000000 - 3243.712013) x 1.00%]
ENP107: rounded = 3279, raw = 3278.662144, rounded_increase = 17, calc = [3261.274893 + (5000.000000 - 3261.274893) x 1.00%]
ENP108: rounded = 3296, raw = 3295.875523, rounded_increase = 17, calc = [3278.662144 + (5000.000000 - 3278.662144) x 1.00%]
ENP109: rounded = 3313, raw = 3312.916768, rounded_increase = 17, calc = [3295.875523 + (5000.000000 - 3295.875523) x 1.00%]
ENP110: rounded = 3330, raw = 3329.787600, rounded_increase = 17, calc = [3312.916768 + (5000.000000 - 3312.916768) x 1.00%]
ENP111: rounded = 3346, raw = 3346.489724, rounded_increase = 17, calc = [3329.787600 + (5000.000000 - 3329.787600) x 1.00%]
ENP112: rounded = 3363, raw = 3363.024827, rounded_increase = 17, calc = [3346.489724 + (5000.000000 - 3346.489724) x 1.00%]
ENP113: rounded = 3379, raw = 3379.394578, rounded_increase = 16, calc = [3363.024827 + (5000.000000 - 3363.024827) x 1.00%]
ENP114: rounded = 3396, raw = 3395.600633, rounded_increase = 16, calc = [3379.394578 + (5000.000000 - 3379.394578) x 1.00%]
ENP115: rounded = 3412, raw = 3411.644626, rounded_increase = 16, calc = [3395.600633 + (5000.000000 - 3395.600633) x 1.00%]
ENP116: rounded = 3428, raw = 3427.528180, rounded_increase = 16, calc = [3411.644626 + (5000.000000 - 3411.644626) x 1.00%]
ENP117: rounded = 3443, raw = 3443.252898, rounded_increase = 16, calc = [3427.528180 + (5000.000000 - 3427.528180) x 1.00%]
ENP118: rounded = 3459, raw = 3458.820369, rounded_increase = 16, calc = [3443.252898 + (5000.000000 - 3443.252898) x 1.00%]
ENP119: rounded = 3474, raw = 3474.232165, rounded_increase = 15, calc = [3458.820369 + (5000.000000 - 3458.820369) x 1.00%]
ENP120: rounded = 3489, raw = 3489.489844, rounded_increase = 15, calc = [3474.232165 + (5000.000000 - 3474.232165) x 1.00%]
ENP121: rounded = 3505, raw = 3504.594945, rounded_increase = 15, calc = [3489.489844 + (5000.000000 - 3489.489844) x 1.00%]
ENP122: rounded = 3520, raw = 3519.548996, rounded_increase = 15, calc = [3504.594945 + (5000.000000 - 3504.594945) x 1.00%]
ENP123: rounded = 3534, raw = 3534.353506, rounded_increase = 15, calc = [3519.548996 + (5000.000000 - 3519.548996) x 1.00%]
ENP124: rounded = 3549, raw = 3549.009971, rounded_increase = 15, calc = [3534.353506 + (5000.000000 - 3534.353506) x 1.00%]
ENP125: rounded = 3564, raw = 3563.519871, rounded_increase = 15, calc = [3549.009971 + (5000.000000 - 3549.009971) x 1.00%]
ENP126: rounded = 3578, raw = 3577.884673, rounded_increase = 14, calc = [3563.519871 + (5000.000000 - 3563.519871) x 1.00%]
ENP127: rounded = 3592, raw = 3592.105826, rounded_increase = 14, calc = [3577.884673 + (5000.000000 - 3577.884673) x 1.00%]
ENP128: rounded = 3606, raw = 3606.184768, rounded_increase = 14, calc = [3592.105826 + (5000.000000 - 3592.105826) x 1.00%]
ENP129: rounded = 3620, raw = 3620.122920, rounded_increase = 14, calc = [3606.184768 + (5000.000000 - 3606.184768) x 1.00%]
ENP130: rounded = 3634, raw = 3633.921691, rounded_increase = 14, calc = [3620.122920 + (5000.000000 - 3620.122920) x 1.00%]
ENP131: rounded = 3648, raw = 3647.582474, rounded_increase = 14, calc = [3633.921691 + (5000.000000 - 3633.921691) x 1.00%]
ENP132: rounded = 3661, raw = 3661.106649, rounded_increase = 14, calc = [3647.582474 + (5000.000000 - 3647.582474) x 1.00%]
ENP133: rounded = 3674, raw = 3674.495583, rounded_increase = 13, calc = [3661.106649 + (5000.000000 - 3661.106649) x 1.00%]
ENP134: rounded = 3688, raw = 3687.750627, rounded_increase = 13, calc = [3674.495583 + (5000.000000 - 3674.495583) x 1.00%]
ENP135: rounded = 3701, raw = 3700.873120, rounded_increase = 13, calc = [3687.750627 + (5000.000000 - 3687.750627) x 1.00%]
ENP136: rounded = 3714, raw = 3713.864389, rounded_increase = 13, calc = [3700.873120 + (5000.000000 - 3700.873120) x 1.00%]
ENP137: rounded = 3727, raw = 3726.725745, rounded_increase = 13, calc = [3713.864389 + (5000.000000 - 3713.864389) x 1.00%]
ENP138: rounded = 3739, raw = 3739.458488, rounded_increase = 13, calc = [3726.725745 + (5000.000000 - 3726.725745) x 1.00%]
ENP139: rounded = 3752, raw = 3752.063903, rounded_increase = 13, calc = [3739.458488 + (5000.000000 - 3739.458488) x 1.00%]
ENP140: rounded = 3765, raw = 3764.543264, rounded_increase = 12, calc = [3752.063903 + (5000.000000 - 3752.063903) x 1.00%]
ENP141: rounded = 3777, raw = 3776.897831, rounded_increase = 12, calc = [3764.543264 + (5000.000000 - 3764.543264) x 1.00%]
ENP142: rounded = 3789, raw = 3789.128853, rounded_increase = 12, calc = [3776.897831 + (5000.000000 - 3776.897831) x 1.00%]
ENP143: rounded = 3801, raw = 3801.237564, rounded_increase = 12, calc = [3789.128853 + (5000.000000 - 3789.128853) x 1.00%]
ENP144: rounded = 3813, raw = 3813.225189, rounded_increase = 12, calc = [3801.237564 + (5000.000000 - 3801.237564) x 1.00%]
ENP145: rounded = 3825, raw = 3825.092937, rounded_increase = 12, calc = [3813.225189 + (5000.000000 - 3813.225189) x 1.00%]
ENP146: rounded = 3837, raw = 3836.842008, rounded_increase = 12, calc = [3825.092937 + (5000.000000 - 3825.092937) x 1.00%]
ENP147: rounded = 3848, raw = 3848.473587, rounded_increase = 12, calc = [3836.842008 + (5000.000000 - 3836.842008) x 1.00%]
ENP148: rounded = 3860, raw = 3859.988852, rounded_increase = 12, calc = [3848.473587 + (5000.000000 - 3848.473587) x 1.00%]
ENP149: rounded = 3871, raw = 3871.388963, rounded_increase = 11, calc = [3859.988852 + (5000.000000 - 3859.988852) x 1.00%]
ENP150: rounded = 3883, raw = 3882.675073, rounded_increase = 11, calc = [3871.388963 + (5000.000000 - 3871.388963) x 1.00%]
ENP151: rounded = 3894, raw = 3893.848323, rounded_increase = 11, calc = [3882.675073 + (5000.000000 - 3882.675073) x 1.00%]
ENP152: rounded = 3905, raw = 3904.909840, rounded_increase = 11, calc = [3893.848323 + (5000.000000 - 3893.848323) x 1.00%]
ENP153: rounded = 3916, raw = 3915.860741, rounded_increase = 11, calc = [3904.909840 + (5000.000000 - 3904.909840) x 1.00%]
ENP154: rounded = 3927, raw = 3926.702134, rounded_increase = 11, calc = [3915.860741 + (5000.000000 - 3915.860741) x 1.00%]
ENP155: rounded = 3937, raw = 3937.435112, rounded_increase = 11, calc = [3926.702134 + (5000.000000 - 3926.702134) x 1.00%]
ENP156: rounded = 3948, raw = 3948.060761, rounded_increase = 11, calc = [3937.435112 + (5000.000000 - 3937.435112) x 1.00%]
ENP157: rounded = 3959, raw = 3958.580154, rounded_increase = 11, calc = [3948.060761 + (5000.000000 - 3948.060761) x 1.00%]
ENP158: rounded = 3969, raw = 3968.994352, rounded_increase = 10, calc = [3958.580154 + (5000.000000 - 3958.580154) x 1.00%]
ENP159: rounded = 3979, raw = 3979.304409, rounded_increase = 10, calc = [3968.994352 + (5000.000000 - 3968.994352) x 1.00%]
ENP160: rounded = 3990, raw = 3989.511364, rounded_increase = 10, calc = [3979.304409 + (5000.000000 - 3979.304409) x 1.00%]
ENP161: rounded = 4000, raw = 3999.616251, rounded_increase = 10, calc = [3989.511364 + (5000.000000 - 3989.511364) x 1.00%]
ENP162: rounded = 4010, raw = 4009.620088, rounded_increase = 10, calc = [3999.616251 + (5000.000000 - 3999.616251) x 1.00%]
ENP163: rounded = 4020, raw = 4019.523887, rounded_increase = 10, calc = [4009.620088 + (5000.000000 - 4009.620088) x 1.00%]
ENP164: rounded = 4029, raw = 4029.328649, rounded_increase = 10, calc = [4019.523887 + (5000.000000 - 4019.523887) x 1.00%]
ENP165: rounded = 4039, raw = 4039.035362, rounded_increase = 10, calc = [4029.328649 + (5000.000000 - 4029.328649) x 1.00%]
ENP166: rounded = 4049, raw = 4048.645008, rounded_increase = 10, calc = [4039.035362 + (5000.000000 - 4039.035362) x 1.00%]
ENP167: rounded = 4058, raw = 4058.158558, rounded_increase = 10, calc = [4048.645008 + (5000.000000 - 4048.645008) x 1.00%]
ENP168: rounded = 4068, raw = 4067.576973, rounded_increase = 9, calc = [4058.158558 + (5000.000000 - 4058.158558) x 1.00%]
ENP169: rounded = 4077, raw = 4076.901203, rounded_increase = 9, calc = [4067.576973 + (5000.000000 - 4067.576973) x 1.00%]
ENP170: rounded = 4086, raw = 4086.132191, rounded_increase = 9, calc = [4076.901203 + (5000.000000 - 4076.901203) x 1.00%]
ENP171: rounded = 4095, raw = 4095.270869, rounded_increase = 9, calc = [4086.132191 + (5000.000000 - 4086.132191) x 1.00%]
ENP172: rounded = 4104, raw = 4104.318160, rounded_increase = 9, calc = [4095.270869 + (5000.000000 - 4095.270869) x 1.00%]
ENP173: rounded = 4113, raw = 4113.274979, rounded_increase = 9, calc = [4104.318160 + (5000.000000 - 4104.318160) x 1.00%]
ENP174: rounded = 4122, raw = 4122.142229, rounded_increase = 9, calc = [4113.274979 + (5000.000000 - 4113.274979) x 1.00%]
ENP175: rounded = 4131, raw = 4130.920807, rounded_increase = 9, calc = [4122.142229 + (5000.000000 - 4122.142229) x 1.00%]
ENP176: rounded = 4140, raw = 4139.611599, rounded_increase = 9, calc = [4130.920807 + (5000.000000 - 4130.920807) x 1.00%]
ENP177: rounded = 4148, raw = 4148.215483, rounded_increase = 9, calc = [4139.611599 + (5000.000000 - 4139.611599) x 1.00%]
ENP178: rounded = 4157, raw = 4156.733328, rounded_increase = 9, calc = [4148.215483 + (5000.000000 - 4148.215483) x 1.00%]
ENP179: rounded = 4165, raw = 4165.165995, rounded_increase = 8, calc = [4156.733328 + (5000.000000 - 4156.733328) x 1.00%]
ENP180: rounded = 4174, raw = 4173.514335, rounded_increase = 8, calc = [4165.165995 + (5000.000000 - 4165.165995) x 1.00%]
ENP181: rounded = 4182, raw = 4181.779191, rounded_increase = 8, calc = [4173.514335 + (5000.000000 - 4173.514335) x 1.00%]
ENP182: rounded = 4190, raw = 4189.961399, rounded_increase = 8, calc = [4181.779191 + (5000.000000 - 4181.779191) x 1.00%]
ENP183: rounded = 4198, raw = 4198.061785, rounded_increase = 8, calc = [4189.961399 + (5000.000000 - 4189.961399) x 1.00%]
ENP184: rounded = 4206, raw = 4206.081168, rounded_increase = 8, calc = [4198.061785 + (5000.000000 - 4198.061785) x 1.00%]
ENP185: rounded = 4214, raw = 4214.020356, rounded_increase = 8, calc = [4206.081168 + (5000.000000 - 4206.081168) x 1.00%]
ENP186: rounded = 4222, raw = 4221.880152, rounded_increase = 8, calc = [4214.020356 + (5000.000000 - 4214.020356) x 1.00%]
ENP187: rounded = 4230, raw = 4229.661351, rounded_increase = 8, calc = [4221.880152 + (5000.000000 - 4221.880152) x 1.00%]
ENP188: rounded = 4237, raw = 4237.364737, rounded_increase = 8, calc = [4229.661351 + (5000.000000 - 4229.661351) x 1.00%]
ENP189: rounded = 4245, raw = 4244.991090, rounded_increase = 8, calc = [4237.364737 + (5000.000000 - 4237.364737) x 1.00%]
ENP190: rounded = 4253, raw = 4252.541179, rounded_increase = 8, calc = [4244.991090 + (5000.000000 - 4244.991090) x 1.00%]
ENP191: rounded = 4260, raw = 4260.015767, rounded_increase = 7, calc = [4252.541179 + (5000.000000 - 4252.541179) x 1.00%]
ENP192: rounded = 4267, raw = 4267.415610, rounded_increase = 7, calc = [4260.015767 + (5000.000000 - 4260.015767) x 1.00%]
ENP193: rounded = 4275, raw = 4274.741453, rounded_increase = 7, calc = [4267.415610 + (5000.000000 - 4267.415610) x 1.00%]
ENP194: rounded = 4282, raw = 4281.994039, rounded_increase = 7, calc = [4274.741453 + (5000.000000 - 4274.741453) x 1.00%]
ENP195: rounded = 4289, raw = 4289.174099, rounded_increase = 7, calc = [4281.994039 + (5000.000000 - 4281.994039) x 1.00%]
ENP196: rounded = 4296, raw = 4296.282358, rounded_increase = 7, calc = [4289.174099 + (5000.000000 - 4289.174099) x 1.00%]
ENP197: rounded = 4303, raw = 4303.319534, rounded_increase = 7, calc = [4296.282358 + (5000.000000 - 4296.282358) x 1.00%]
ENP198: rounded = 4310, raw = 4310.286339, rounded_increase = 7, calc = [4303.319534 + (5000.000000 - 4303.319534) x 1.00%]
ENP199: rounded = 4317, raw = 4317.183475, rounded_increase = 7, calc = [4310.286339 + (5000.000000 - 4310.286339) x 1.00%]
ENP200: rounded = 4324, raw = 4324.011640, rounded_increase = 7, calc = [4317.183475 + (5000.000000 - 4317.183475) x 1.00%]
ENP201: rounded = 4331, raw = 4330.771524, rounded_increase = 7, calc = [4324.011640 + (5000.000000 - 4324.011640) x 1.00%]
ENP202: rounded = 4337, raw = 4337.463809, rounded_increase = 7, calc = [4330.771524 + (5000.000000 - 4330.771524) x 1.00%]
ENP203: rounded = 4344, raw = 4344.089171, rounded_increase = 7, calc = [4337.463809 + (5000.000000 - 4337.463809) x 1.00%]
ENP204: rounded = 4351, raw = 4350.648279, rounded_increase = 7, calc = [4344.089171 + (5000.000000 - 4344.089171) x 1.00%]
ENP205: rounded = 4357, raw = 4357.141796, rounded_increase = 6, calc = [4350.648279 + (5000.000000 - 4350.648279) x 1.00%]
ENP206: rounded = 4364, raw = 4363.570378, rounded_increase = 6, calc = [4357.141796 + (5000.000000 - 4357.141796) x 1.00%]
ENP207: rounded = 4370, raw = 4369.934675, rounded_increase = 6, calc = [4363.570378 + (5000.000000 - 4363.570378) x 1.00%]
ENP208: rounded = 4376, raw = 4376.235328, rounded_increase = 6, calc = [4369.934675 + (5000.000000 - 4369.934675) x 1.00%]
ENP209: rounded = 4382, raw = 4382.472974, rounded_increase = 6, calc = [4376.235328 + (5000.000000 - 4376.235328) x 1.00%]
